City,Weather
Барановичи,+3
Барановичи,+5
Барань,+4
Бегомль,+4
"Белёв, Морохоровский сельсовет",+3
Белоозёрск,+4
Белыничи,+4
Березино,+4
Березино,+4
Берестье,+8
"Берёза, Берёзовский сельсовет",+4
"Берёзовка, Лидский район",+2
Бешенковичи,+4
Бобр,+3
Бобровичи,+4
Бобруйск,+4
Богино,+4
Богушевичи,+3
Богушевск,+4
Большая Берестовица,+4
Большие Чучевичи,+4
Борисов,+4
Бочейково,+4
Брагин,+5
Браслав,+4
Браславская Лука,+4
Брест,+3
Брянск,+4
Буда-Кошелёво,+7
Бытень,+4
Быхов,+4
"Василевичи, Речицкий район",+5
Великие Луки,+4
Вересница,+5
Верхнедвинск,+4
"Ветка, Ветковский район",+4
"Ветрино, Полоцкий район",+4
Ветчин,+4
Видзы,+4
Вилейка,+4
Витебск,+3
Волка,+4
Волковыск,+3
Воложин,+3
Ворняны,+3
Вороново,+3
Воропаево,+6
"Высокое, Каменецкий район",+4
Ганцевичи,+4
"Ганцевичи, Каменский сельсовет",+4
Глебковичи,+4
Глубокое,+4
Глуск,+5
Глушковичи,+5
Гожа,+4
Гольшаны,+4
Гомель,+5
Гомель,+3
"Горки, Горецкий район",+4
"Городец, Лужковский сельсовет",+4
"Городище, Бокшицкий сельсовет",+3
Городок,+4
Гродно,+5
Гроза,+4
Давид-Городок,+4
Дараганово,+4
Дзержинск,+4
Дисна,+4
Дмитровичи,+5
Днепр,+5
"Добруш, Добрушский район",+4
"Добруш, Руднемаримоновский сельсовет",+4
Довск,+3
Докшицы,+8
Домачево,+3
Дретунь,+3
Дрибин,+4
Дрогичин,+4
Друя,+5
Дубровно,+3
"Дунай, Кривский сельсовет",+4
Дятлово,+4
Езерище,+3
Ельск,+5
Жабинка,+6
Ждановичи,+4
Жировичи,+5
Житковичи,+4
Жлобин,+4
Жодино,+4
Занарочь,+4
Заславль,+4
Заслоново,+3
Зелёный Бор,+3
"Зельва, Зельвенский район",+4
"Зельва, Зельвенский сельсовет",+4
Иваново,+3
Ивацевичи,+3
Ивье,+4
Кавказ,+3
Калинковичи,+5
Каменец,+5
Каменюки,+4
Киров,+5
Кировск,+6
Клецк,+4
Климовичи,+4
"Климовичи, Климовичский район",+3
Кличев,+4
Кобрин,+4
Козловщина,+4
Комарин,+6
Копыль,+5
Кореличи,+3
"Корма, Кормянский район",+4
Коссово,+3
Костюковичи,+4
Котельники,+4
Красная Поляна,+4
Красная Слобода,+4
Краснополье,+3
"Краснополье, Краснопольский район",+4
Красносельский,+3
Красный Берег,+4
Криница,+4
Кричев,+4
"Круглое, Круглянский район",+4
Крупки,+3
Курган,+4
Лапичи,+5
Лельчицы,+4
Лепель,+4
Лесной,+3
Лида,+3
Лиозно,+5
Логойск,+3
Лоев,+4
Лунинец,+3
Лынтупы,+4
"Любань, Любанский район",+4
Людвиново,+4
"Лясковичи, Лясковичский сельсовет",+5
"Ляховичи, Ляховичский район",+4
Малорита,+4
Малые Лётцы,+4
Мальковичи,+4
Марьина Горка,+8
Микашевичи,+4
Микуличи,+5
Милошевичи,+5
Минск,+4
Миоры,+4
Мир,+3
Могилёв,+4
Мозырь,+4
Молодечно,+3
Мосты,+3
Мотоль,+4
Мстиславль,+4
Мядель,+4
Наровля,+5
"Нарочь, Мядельский район",+4
"Нарочь, Нарочанский сельсовет",+4
"Нарочь, Нарочский сельсовет",+4
Несвиж,+3
Новогрудок,+3
Новоельня,+3
Новолукомль,+4
Новополоцк,+4
Оболь,+4
Озерница,+4
"Октябрь, Октябрьский сельсовет",+4
Октябрьский,+4
Ольшаны,+4
Опса,+3
"Орёл, Карповский сельсовет",+5
Орля,+4
Орша,+4
Освея,+4
Осиповичи,+5
Осиповичи,+4
"Остров, Поболовский сельсовет",+3
Островец,+4
Ошмяны,+4
Папанин,+3
Париж,+5
Петриков,+4
Пинск,+4
Плещеницы,+3
Плиса,+4
Подсвилье,+3
Полонка,+3
Полоцк,+4
Поречье,+4
Поставы,+4
Приморье,+4
Приозёрная,+3
Пружаны,+3
Пуховичи,+4
Радошковичи,+4
Раков,+3
Раубичи,+5
Речица,+3
Рогачёв,+3
Россоны,+3
Россь,+4
Руденск,+4
Ружаны,+3
Саки,+4
Саки,+4
Светлогорск,+3
Свислочь,+3
Сенно,+6
Синкевичи,+4
Скидель,+3
Славгород,+3
Слоним,+3
Слуцк,+4
Смолевичи,+4
Сморгонь,+4
Снеги,+4
Солигорск,+4
Солоники,+4
Солы,+4
Старобин,+4
"Староселье, Кошелёвский сельсовет",+3
"Старые Дороги, Стародорожский район",+4
Столбцы,+4
Столин,+5
Студеная Гута,+5
Сураж,+5
Телеханы,+5
"Тереховка, Тереховский сельсовет",+4
Терюха,+3
Толочин,+4
Туров,+4
Узда,+5
Улла,+4
Ушачи,+4
Фаниполь,+5
Хойники,+4
Хотимск,+4
Чаусы,+4
Чашники,+4
Червень,+4
Чериков,+4
Чечевичи,+3
Чечерск,+4
Чёнки,+5
Чигиринка,+4
Шарковщина,+4
Шклов,+4
Шумилино,+3
Щорсы,+3
Щучин,+3
Юратишки,+3
Юрга,+4
Яновичи,+3
Янтарный,+5
